Date,Open,High,Low,Close,Adj Close,Volume,Revenue,Net Income,EPS,Operating Income,EBITDA ,Current Ratio
2022/9/9,155.470001,157.820007,154.75,157.369995,155.645477,68028800,82959,19442,1.2,23076,25881,0.87
2022/9/12,159.589996,164.259995,159.300003,163.429993,161.639023,104956000,82959,19442,1.2,23076,25881,0.87
2022/9/13,159.899994,160.539993,153.369995,153.839996,152.15416,122656600,82959,19442,1.2,23076,25881,0.87
2022/9/14,154.789993,157.100006,153.610001,155.309998,153.608017,87965400,82959,19442,1.2,23076,25881,0.87
2022/9/15,154.649994,155.240005,151.380005,152.369995,150.700287,90481100,82959,19442,1.2,23076,25881,0.87
2022/9/16,151.210007,151.350006,148.369995,150.699997,149.048553,162278800,82959,19442,1.2,23076,25881,0.87
2022/9/19,149.309998,154.559998,149.100006,154.479996,152.78714,81474200,82959,19442,1.2,23076,25881,0.87
2022/9/20,153.399994,158.080002,153.080002,156.899994,155.180618,107689800,82959,19442,1.2,23076,25881,0.87
2022/9/21,157.339996,158.740005,153.600006,153.720001,152.035461,101696800,82959,19442,1.2,23076,25881,0.87
2022/9/22,152.380005,154.470001,150.910004,152.740005,151.066223,86652500,82959,19442,1.2,23076,25881,0.87
2022/9/23,151.190002,151.470001,148.559998,150.429993,148.781525,96029900,82959,19442,1.2,23076,25881,0.87
2022/9/26,149.660004,153.770004,149.639999,150.770004,149.117813,93339400,82959,19442,1.2,23076,25881,0.87
2022/9/27,152.740005,154.720001,149.949997,151.759995,150.096939,84442700,82959,19442,1.2,23076,25881,0.87
2022/9/28,147.639999,150.639999,144.839996,149.839996,148.197998,146691400,82959,19442,1.2,23076,25881,0.87
2022/9/29,146.100006,146.720001,140.679993,142.479996,140.91864,128138200,82959,19442,1.2,23076,25881,0.87
2022/9/30,141.279999,143.100006,138,138.199997,136.685532,124925300,90146,20721,1.29,24894,27759,0.88
2022/10/3,138.210007,143.070007,137.690002,142.449997,140.888947,114311700,90146,20721,1.29,24894,27759,0.88
2022/10/4,145.029999,146.220001,144.259995,146.100006,144.498993,87830100,90146,20721,1.29,24894,27759,0.88
2022/10/5,144.070007,147.380005,143.009995,146.399994,144.795685,79471000,90146,20721,1.29,24894,27759,0.88
2022/10/6,145.809998,147.539993,145.220001,145.429993,143.836319,68402200,90146,20721,1.29,24894,27759,0.88
2022/10/7,142.539993,143.100006,139.449997,140.089996,138.554825,85925600,90146,20721,1.29,24894,27759,0.88
2022/10/10,140.419998,141.889999,138.570007,140.419998,138.881226,74899000,90146,20721,1.29,24894,27759,0.88
2022/10/11,139.899994,141.350006,138.220001,138.979996,137.457001,77033700,90146,20721,1.29,24894,27759,0.88
2022/10/12,139.130005,140.360001,138.160004,138.339996,136.82399,70433700,90146,20721,1.29,24894,27759,0.88
2022/10/13,134.990005,143.589996,134.369995,142.990005,141.42305,113224000,90146,20721,1.29,24894,27759,0.88
2022/10/14,144.309998,144.520004,138.190002,138.380005,136.863586,88598000,90146,20721,1.29,24894,27759,0.88
2022/10/17,141.070007,142.899994,140.270004,142.410004,140.849426,85250900,90146,20721,1.29,24894,27759,0.88
2022/10/18,145.490005,146.699997,140.610001,143.75,142.174713,99136600,90146,20721,1.29,24894,27759,0.88
2022/10/19,141.690002,144.949997,141.5,143.860001,142.283539,61758300,90146,20721,1.29,24894,27759,0.88
2022/10/20,143.020004,145.889999,142.649994,143.389999,141.818665,64522000,90146,20721,1.29,24894,27759,0.88
2022/10/21,142.869995,147.850006,142.649994,147.270004,145.656158,86548600,90146,20721,1.29,24894,27759,0.88
2022/10/24,147.190002,150.229996,146,149.449997,147.812256,75981900,90146,20721,1.29,24894,27759,0.88
2022/10/25,150.089996,152.490005,149.360001,152.339996,150.670578,74732300,90146,20721,1.29,24894,27759,0.88
2022/10/26,150.960007,151.990005,148.039993,149.350006,147.713364,88194300,90146,20721,1.29,24894,27759,0.88
2022/10/27,148.070007,149.050003,144.130005,144.800003,143.213211,109180200,90146,20721,1.29,24894,27759,0.88
2022/10/28,148.199997,157.5,147.820007,155.740005,154.033325,164762400,90146,20721,1.29,24894,27759,0.88
2022/10/31,153.160004,154.240005,151.919998,153.339996,151.659622,97943200,90146,20721,1.29,24894,27759,0.88
2022/11/1,155.080002,155.449997,149.130005,150.649994,148.999115,80379300,90146,20721,1.29,24894,27759,0.88
2022/11/2,148.949997,152.169998,145,145.029999,143.440704,93604600,90146,20721,1.29,24894,27759,0.88
2022/11/3,142.059998,142.800003,138.75,138.880005,137.358109,97918500,90146,20721,1.29,24894,27759,0.88
2022/11/4,142.089996,142.669998,134.380005,138.380005,137.090622,140814800,90146,20721,1.29,24894,27759,0.88
2022/11/7,137.110001,139.149994,135.669998,138.919998,137.62558,83374600,90146,20721,1.29,24894,27759,0.88
2022/11/8,140.410004,141.429993,137.490005,139.5,138.20018,89908500,90146,20721,1.29,24894,27759,0.88
2022/11/9,138.5,138.550003,134.589996,134.869995,133.613327,74917800,90146,20721,1.29,24894,27759,0.88
2022/11/10,141.240005,146.869995,139.5,146.869995,145.501495,118854000,90146,20721,1.29,24894,27759,0.88
2022/11/11,145.820007,150.009995,144.369995,149.699997,148.305145,93979700,90146,20721,1.29,24894,27759,0.88
2022/11/14,148.970001,150.279999,147.429993,148.279999,146.898361,73374100,90146,20721,1.29,24894,27759,0.88
2022/11/15,152.220001,153.589996,148.559998,150.039993,148.641953,89868300,90146,20721,1.29,24894,27759,0.88
2022/11/16,149.130005,149.869995,147.289993,148.789993,147.40358,64218300,90146,20721,1.29,24894,27759,0.88
2022/11/17,146.429993,151.479996,146.149994,150.720001,149.315628,80389400,90146,20721,1.29,24894,27759,0.88
2022/11/18,152.309998,152.699997,149.970001,151.289993,149.88031,74829600,90146,20721,1.29,24894,27759,0.88
2022/11/21,150.160004,150.369995,147.720001,148.009995,146.63089,58724100,90146,20721,1.29,24894,27759,0.88
2022/11/22,148.130005,150.419998,146.929993,150.179993,148.780655,51804100,90146,20721,1.29,24894,27759,0.88
2022/11/23,149.449997,151.830002,149.339996,151.070007,149.662369,58301400,90146,20721,1.29,24894,27759,0.88
2022/11/25,148.309998,148.880005,147.119995,148.110001,146.729935,35195900,90146,20721,1.29,24894,27759,0.88
2022/11/28,145.139999,146.639999,143.380005,144.220001,142.876205,69246000,90146,20721,1.29,24894,27759,0.88
2022/11/29,144.289993,144.809998,140.350006,141.169998,139.854614,83763800,90146,20721,1.29,24894,27759,0.88
2022/11/30,141.399994,148.720001,140.550003,148.029999,146.650696,111380900,90146,20721,1.29,24894,27759,0.88
2022/12/1,148.210007,149.130005,146.610001,148.309998,146.92807,71250400,90146,20721,1.29,24894,27759,0.88
2022/12/2,145.960007,148,145.649994,147.809998,146.432739,65447400,90146,20721,1.29,24894,27759,0.88
2022/12/5,147.770004,150.919998,145.770004,146.630005,145.263763,68826400,90146,20721,1.29,24894,27759,0.88
2022/12/6,147.070007,147.300003,141.919998,142.910004,141.5784,64727200,90146,20721,1.29,24894,27759,0.88
2022/12/7,142.190002,143.369995,140,140.940002,139.626755,69721100,90146,20721,1.29,24894,27759,0.88
2022/12/8,142.360001,143.520004,141.100006,142.649994,141.320816,62128300,90146,20721,1.29,24894,27759,0.88
2022/12/9,142.339996,145.570007,140.899994,142.160004,140.835388,76097000,90146,20721,1.29,24894,27759,0.88
2022/12/12,142.699997,144.5,141.059998,144.490005,143.143677,70462700,90146,20721,1.29,24894,27759,0.88
2022/12/13,149.5,149.970001,144.240005,145.470001,144.114563,93886200,90146,20721,1.29,24894,27759,0.88
2022/12/14,145.350006,146.660004,141.160004,143.210007,141.875626,82291200,90146,20721,1.29,24894,27759,0.88
2022/12/15,141.110001,141.800003,136.029999,136.5,135.228134,98931900,90146,20721,1.29,24894,27759,0.88
2022/12/16,136.690002,137.649994,133.729996,134.509995,133.256668,160156900,90146,20721,1.29,24894,27759,0.88
2022/12/19,135.110001,135.199997,131.320007,132.369995,131.136581,79592600,90146,20721,1.29,24894,27759,0.88
