Date,Open,High,Low,Close,Adj Close,Volume,Revenue,Net Income,EPS,Operating Income,Current Ratio,EBITDA
2019/8/28,4.0145,4.0835,3.975,4.0305,4.011333,255612000,2579,552,0.02,571,8.65,663
2019/8/29,4.1225,4.2075,4.119,4.175,4.155146,357976000,2579,552,0.02,571,8.65,663
2019/8/30,4.2215,4.2715,4.1695,4.18775,4.167836,290616000,2579,552,0.02,571,8.65,663
2019/9/3,4.1145,4.14775,4.08125,4.10425,4.084733,296140000,2579,552,0.02,571,8.65,663
2019/9/4,4.16525,4.2265,4.16525,4.219,4.198937,227728000,2579,552,0.02,571,8.65,663
2019/9/5,4.32175,4.49975,4.32,4.4935,4.472131,695676000,2579,552,0.02,571,8.65,663
2019/9/6,4.47,4.52725,4.428,4.46625,4.445012,376976000,2579,552,0.02,571,8.65,663
2019/9/9,4.4975,4.5995,4.496,4.5125,4.491041,417524000,2579,552,0.02,571,8.65,663
2019/9/10,4.4795,4.60625,4.46975,4.5795,4.557723,352812000,2579,552,0.02,571,8.65,663
2019/9/11,4.59425,4.65675,4.565,4.60825,4.586337,361512000,2579,552,0.02,571,8.65,663
2019/9/12,4.655,4.71,4.59875,4.60675,4.584844,327840000,2579,552,0.02,571,8.65,663
2019/9/13,4.53975,4.577,4.5045,4.5485,4.526872,324592000,2579,552,0.02,571,8.65,663
2019/9/16,4.473,4.54,4.4625,4.50525,4.483826,231832000,2579,552,0.02,571,8.65,663
2019/9/17,4.512,4.531,4.46525,4.52675,4.505224,223048000,2579,552,0.02,571,8.65,663
2019/9/18,4.51975,4.5355,4.4125,4.4995,4.478103,258152000,2579,552,0.02,571,8.65,663
2019/9/19,4.5055,4.524,4.41275,4.4235,4.402464,245476000,2579,552,0.02,571,8.65,663
2019/9/20,4.4225,4.44625,4.307,4.31725,4.29672,350244000,2579,552,0.02,571,8.65,663
2019/9/23,4.3175,4.41675,4.31375,4.371,4.350215,249712000,2579,552,0.02,571,8.65,663
2019/9/24,4.4025,4.43225,4.2775,4.31325,4.29274,317268000,2579,552,0.02,571,8.65,663
2019/9/25,4.31275,4.4755,4.26775,4.45575,4.434562,308432000,2579,552,0.02,571,8.65,663
2019/9/26,4.446,4.45475,4.38225,4.4335,4.412417,234564000,2579,552,0.02,571,8.65,663
2019/9/27,4.3915,4.4425,4.233,4.294,4.273581,362056000,2579,552,0.02,571,8.65,663
2019/9/30,4.32,4.362,4.2885,4.35175,4.331057,186184000,2579,552,0.02,571,8.65,663
2019/10/1,4.375,4.525,4.34525,4.35,4.329315,366008000,2579,552,0.02,571,8.65,663
2019/10/2,4.328,4.34,4.25325,4.326,4.305429,293372000,2579,552,0.02,571,8.65,663
2019/10/3,4.3305,4.539,4.3,4.53275,4.511194,450588000,2579,552,0.02,571,8.65,663
2019/10/4,4.535,4.57875,4.4695,4.54925,4.527617,265524000,2579,552,0.02,571,8.65,663
2019/10/7,4.6145,4.7085,4.60575,4.60825,4.586337,480984000,2579,552,0.02,571,8.65,663
2019/10/8,4.516,4.516,4.4125,4.43075,4.40968,444436000,2579,552,0.02,571,8.65,663
